,Course Master,,,
Nos,ID,Course Name,Stream ID,ddd
1,11,B.Tech in Computer Science Engineering,1,Engineering and Technology
2,12,B.Tech in Mechanical Engineering,1,Engineering and Technology
3,13,B.Tech in Civil Engineering,1,Engineering and Technology
4,14,B.Tech in Elecrical Engineering,1,Engineering and Technology
5,15,B.Tech in Electronics and Communication,1,Engineering and Technology
6,16,B.Tech in Fire Technology and Safety Engineering,1,Engineering and Technology
7,17,B.Tech (LEET) in Computer Science Engineering,1,Engineering and Technology
8,18,B.Tech (LEET) in Mechanical Engineering,1,Engineering and Technology
9,19,B.Tech (LEET) in Civil Engineering,1,Engineering and Technology
10,20,B.Tech (LEET) in Elecrical Engineering,1,Engineering and Technology
11,21,B.Tech (LEET) in Electronics and Communication,1,Engineering and Technology
12,22,M.tech in Computer Science Engineering,1,Engineering and Technology
13,23,M.tech in Civil Engineering,1,Engineering and Technology
14,24,M.tech in Electronics and Communication Engineering,1,Engineering and Technology
15,25,M.tech in Electrical Engineering,1,Engineering and Technology
16,26,M.Tech in Renewable Energy Engineering,1,Engineering and Technology
17,27,Diploma(Dual Program)- B.Tech Mechanical Engineering,1,Engineering and Technology
18,28,Diploma(Dual Program)-B.Tech Civil Engineering,1,Engineering and Technology
19,29,Diploma(Dual Program)-B.Tech Electrical Engineering,1,Engineering and Technology
20,30,Diploma(Dual Program)-B.Tech Electronics and communication,1,Engineering and Technology
21,31,Diploma(Dual Program)-B.Tech Computer Science Engineering,1,Engineering and Technology
22,32,Diploma(Dual Program)-B.Tech Automobile Engineering,1,Engineering and Technology
23,33,Diploma in Fire Technology and Safe Engg.,1,Engineering and Technology
24,34,Diploma in Cyber Forensic and Information,1,Engineering and Technology
25,35,Diploma in Mechanical Engineering-Steel,1,Engineering and Technology
26,36,Diploma in Metallurgical Engineering,1,Engineering and Technology
27,37,Diploma in Automobile,1,Engineering and Technology
28,38,Diploma (LEET) in Fire Technology and Safe Engg.,1,Engineering and Technology
29,39,Diploma (LEET) in Cyber Forensic and Information,1,Engineering and Technology
30,40,Diploma (LEET) in Mechanical Engineering-Steel,1,Engineering and Technology
31,41,Diploma (LEET) in Metallurgical Engineering,1,Engineering and Technology
32,42,Diploma (LEET) in Automobile,1,Engineering and Technology
