Nos,ID,Course Name,Stream ID,Stream Name
95,11,B.Tech in Computer Science Engineering,1,Engineering and Technology
1393,12,B.Tech in Mechanical Engineering,1,Engineering and Technology
1332,13,B.Tech in Civil Engineering,1,Engineering and Technology
100,14,B.Tech in Elecrical Engineering,1,Engineering and Technology
497,15,B.Tech in Electronics and Communication,1,Engineering and Technology
423,16,B.Tech in Fire Technology and Safety Engineering,1,Engineering and Technology
706,17,B.Tech (LEET) in Computer Science Engineering,1,Engineering and Technology
1109,18,B.Tech (LEET) in Mechanical Engineering,1,Engineering and Technology
1296,19,B.Tech (LEET) in Civil Engineering,1,Engineering and Technology
1297,20,B.Tech (LEET) in Elecrical Engineering,1,Engineering and Technology
1138,21,B.Tech (LEET) in Electronics and Communication,1,Engineering and Technology
1147,22,M.tech in Computer Science Engineering,1,Engineering and Technology
1160,23,M.tech in Civil Engineering,1,Engineering and Technology
1170,24,M.tech in Electronics and Communication Engineering,1,Engineering and Technology
1187,25,M.tech in Electrical Engineering,1,Engineering and Technology
651,26,M.Tech in Renewable Energy Engineering,1,Engineering and Technology
121,27,Diploma(Dual Program)- B.Tech Mechanical Engineering,1,Engineering and Technology
294,28,Diploma(Dual Program)-B.Tech Civil Engineering,1,Engineering and Technology
1106,29,Diploma(Dual Program)-B.Tech Electrical Engineering,1,Engineering and Technology
124,30,Diploma(Dual Program)-B.Tech Electronics and communication,1,Engineering and Technology
840,31,Diploma(Dual Program)-B.Tech Computer Science Engineering,1,Engineering and Technology
841,32,Diploma(Dual Program)-B.Tech Automobile Engineering,1,Engineering and Technology
839,33,Diploma in Fire Technology and Safe Engg.,1,Engineering and Technology
832,34,Diploma in Cyber Forensic and Information,1,Engineering and Technology
830,35,Diploma in Mechanical Engineering-Steel,1,Engineering and Technology
1085,36,Diploma in Metallurgical Engineering,1,Engineering and Technology
831,37,Diploma in Automobile,1,Engineering and Technology
243,38,Diploma (LEET) in Fire Technology and Safe Engg.,1,Engineering and Technology
654,39,Diploma (LEET) in Cyber Forensic and Information,1,Engineering and Technology
228,40,Diploma (LEET) in Mechanical Engineering-Steel,1,Engineering and Technology
227,41,Diploma (LEET) in Metallurgical Engineering,1,Engineering and Technology
1062,42,Diploma (LEET) in Automobile,1,Engineering and Technology
120,43,Polytechnic diploma in Civil Engineering,1,Engineering and Technology
102,44,Polytechnic diploma in Computer Science Engineering,1,Engineering and Technology
198,45,Polytechnic diploma in Mechanical Engineering,1,Engineering and Technology
201,46,Polytechnic diploma in Electrical Engineering,1,Engineering and Technology
547,47,Polytechnic diploma in Electronics & Communication,1,Engineering and Technology
467,48,Diploma in (LEET)Civil Engineering,1,Engineering and Technology
857,49,Diploma in (LEET)Computer Science Engineering,1,Engineering and Technology
548,50,Diploma in (LEET)Mechanical Engineering,1,Engineering and Technology
468,51,Diploma in (LEET)Electrical Engineering,1,Engineering and Technology
92,52,Diploma in (LEET)Electronics & Communication,1,Engineering and Technology
874,53,ITI in Desiel Mechanic,1,Engineering and Technology
851,54,ITI in Electrician,1,Engineering and Technology
541,55,ITI in Refrigiration and Air Conditioning,1,Engineering and Technology
542,56,ITI in Fashion Design,7,Design Fashion and Animation
853,57,MBA in HRM,2,Business and Commerce
212,58,MBA in Finance,2,Business and Commerce
213,59,MBA in Marketing,2,Business and Commerce
210,60,MBA in Logistics & Supply Chain Management,2,Business and Commerce
214,61,MBA in Food & Beverage Managemen,2,Business and Commerce
211,62,MBA in Digital and Social Media Marketing,2,Business and Commerce
209,63,MBA in International Business,2,Business and Commerce
202,64,"MBA in Banking ,Insurance and Financial Services",2,Business and Commerce
207,65,MBA in Business Analytics,2,Business and Commerce
208,66,MBA in Sales & Retail Management,2,Business and Commerce
204,67,MBA in E- Business,2,Business and Commerce
205,68,MBA in Pharmaceutical Management,2,Business and Commerce
206,69,MBA in Family Business Management & Entrepreneurship,2,Business and Commerce
203,70,Bachelor of Business Administration,2,Business and Commerce
701,71,Sales &Retail Marketing,2,Business and Commerce
196,72,Foreign Trade,2,Business and Commerce
169,73,Banking and Insurance,2,Business and Commerce
168,74,Digital and Social Media Marketing,2,Business and Commerce
164,75,Tourism & Hospitality Management,2,Business and Commerce
766,76,Logistics & Supply Chain Management,2,Business and Commerce
162,77,E -Commerce,2,Business and Commerce
474,78,Family Business Management & Entrepreneurship,2,Business and Commerce
549,79,Finace and Accounting,2,Business and Commerce
550,80,Dual Programme in BBA-MBA Financial Market Practices in collaboration with NSE,2,Business and Commerce
126,81,Diploma in Hospital Administration,2,Business and Commerce
803,82,M.com,2,Business and Commerce
309,83,M.com (Hons) with specialization in Financial Market Practices in collaboration with NSE,2,Business and Commerce
761,84,Bachelor of commerce,2,Business and Commerce
804,85,B.COM in  Banking & Insurance,2,Business and Commerce
878,86,B.COM in Computer Applications,2,Business and Commerce
247,87,B.COM in Advanced Cost and Management Accounting,2,Business and Commerce
246,88,B.COM in Financial Market Practices in collaboration with NSE,2,Business and Commerce
307,89,B.COM in Tourism & Hospitality Management,2,Business and Commerce
308,90,B.COM in E -Commerce,2,Business and Commerce
765,91,B.COM in Foreign Trade,2,Business and Commerce
1041,92,B.COM in Auditing &Taxation,2,Business and Commerce
405,93,Dual Programme B.Com.-MBA,2,Business and Commerce
404,94,B.A. - L.L.B. with specialization in Criminal Law/ Labour Law/Constitution Law,3,Law
406,95,BBA-LLB *with specialization in Corporate Law/ Internation Trade /Finacial Management/Financial accounting,3,Law
113,96,BCOM-LLB *with specialization in Taxation Law/E-Commerece/Corporate Accounting,3,Law
563,97,L.L.M. Human Rights/Criminal Law/Family Law/Constitutional Law/Intellectual Property Right/Business Law/Internation Economics Law,3,Law
1045,98,L.L.B. Bachelor of Laws with specialization in Criminal Law/ Labour Law/Constitution Law,3,Law
1046,99,MCA,9,Computer Application
1040,100,MCA (LEET),9,Computer Application
628,101,M.Sc. Computer Science,9,Computer Application
629,102,BCA,9,Computer Application
627,103,BCA (Leet),9,Computer Application
1044,104,B.Sc. Information Technology,9,Computer Application
493,105,B.sc Computer Science,9,Computer Application
1389,106,Dual Programme BCA-MCA,9,Computer Application
879,107,DCA Diploma in computer application ,9,Computer Application
1352,108,PGDCA Post Graduate Diploma in Computer Application,9,Computer Application
1367,109,M.A. Education,4,Education
1371,110,M. Ed. Master of Education,4,Education
1423,111,B.Sc.- B.Ed.,4,Education
711,112,B.A. - B.Ed.,4,Education
416,113,B. ED. Bachelor of Education,4,Education
491,114,E.T.T. Elementary Teacher Training,4,Education
