Nos,ID,Course Name,Stream ID,Stream Name
2006,2016,(BCLS) Basic Cardiac Life Support Technician + (ACLS) Advanced Cardiac Life Support Technician (Integrated)* Note: With option to move after 2 years BCLS,6,Paramedical
3198,3209,Advance Certificate of Proficiency (English),4,Education
2402,2412,Advanced Diploma in Digital Media Design,7,Design Courses
2390,2400,Advanced Diploma in Fashion Design,7,Design Courses
2405,2415,Advanced Diploma in Fashion Marketing and Management Design,7,Design Courses
2399,2409,Advanced Diploma in Graphic Design,7,Design Courses
2393,2403,Advanced Diploma in Interior Design,7,Design Courses
2396,2406,Advanced Diploma in Product Design,7,Design Courses
1375,1385,Aircraft Maintenance Engineering,1,Engineering and Technology
1311,1321,Animation Prime,7,Design Courses
2587,2597,ANM,6,Paramedical
2108,2118,ATHM (Airline Tourism & Hospitality Management),10,Hospitality and Tourism Management
483,493,Auxiliary Nurse MildWifery(A.N.M),6,Paramedical
422,432,Auxiliary Nursing & Midwifery (ANM),6,Paramedical
695,705,Auxiliary Nursing & Midwifery (ANM),6,Paramedical
1107,1117,Auxiliary Nursing & Midwifery (ANM),6,Paramedical
3216,3227,B A Political Science,4,Education
3215,3226,B A Sociology,4,Education
3218,3229,B Com ABST,2,Business and Commerce
3219,3230,B Com EAFM,2,Business and Commerce
1273,1283,"B Sc (Hons) Computer
Science in Artificial Intelligence",9,Computer Application
1274,1284,"B Sc (Hons) Computer
Science in Innovation and Technology",9,Computer Application
1134,1144,B Tech in Civil Engineering,1,Engineering and Technology
1156,1166,B Tech in Civil Engineering,1,Engineering and Technology
1166,1176,B Tech in Civil Engineering,1,Engineering and Technology
1183,1193,B Tech in Civil Engineering,1,Engineering and Technology
2461,2471,B-Optometry,6,Paramedical
1660,1670,B. Arch.,1,Engineering and Technology
2188,2198,B. Com,2,Business and Commerce
622,632,B. Com (Hons.),2,Business and Commerce
2256,2266,B. Com (Hons.),2,Business and Commerce
2357,2367,"B. COM (IFA with ACCA, UK)",2,Business and Commerce
2358,2368,"B. COM (IFA with IMA, USA)",2,Business and Commerce
2789,2800,"B. Com. (Hons.) in collaboration with University of Warwick, UK.",2,Business and Commerce
2790,2801,B. Com. (Hons.) in International Accounting & Finance,2,Business and Commerce
2373,2383,B. Design Animation/Game Design,7,Design Courses
2366,2376,B. Ed,4,Education
103,113,B. ED. Bachelor of Education,4,Education
2354,2364,B. Interior Design,7,Design Courses
283,293,B. Pharm,5,Pharmacy
3540,3551,B. Pharm,5,Pharmacy
3541,3552,B. Pharm (Lateral Entry),5,Pharmacy
1104,1114,B. Pharma,5,Pharmacy
106,116,B. Pharma Bachelor of Pharmacy (Ayurvedic),5,Pharmacy
2190,2200,B. Pharmacy,5,Pharmacy
2259,2269,B. Pharmacy (B.Pharma),5,Pharmacy
2362,2372,B. Pharmacy (Practice),5,Pharmacy
2260,2270,B. Pharmcy (LEET),5,Pharmacy
1661,1671,B. Plan.,1,Engineering and Technology
3274,3285,B. Planning (Urban Planning),1,Engineering and Technology
2809,2820,B. SC (PHARMACEUTICAL CHEMISTRY),6,Paramedical
2335,2345,B. Sc Agriculture,6,Paramedical
2338,2348,B. Sc Allied Healthcare,6,Paramedical
2372,2382,B. Sc Animation,7,Design Courses
2369,2379,B. Sc Culinary Arts,10,Hospitality and Tourism Management
2368,2378,B. Sc Hospitality Administration,10,Hospitality and Tourism Management
2370,2380,B. Sc Hospitality Administration,10,Hospitality and Tourism Management
2817,2828,B. Sc Hospitality Administration,10,Hospitality and Tourism Management
2722,2733,B. Sc IT,9,Computer Application
2723,2734,B. Sc IT (Industry Intergrated),9,Computer Application
2337,2347,B. Sc Nursing (Basic),6,Paramedical
2375,2385,B. Sc Post Basic Nursing,6,Paramedical
2207,2217,B. Sc. (Hons) Forensic Science,6,Paramedical
837,847,B. Sc. (Hons.) Chemistry,6,Paramedical
838,848,B. Sc. (Hons.) Mathematics,6,Paramedical
836,846,B. Sc. (Hons.) Physics,6,Paramedical
2204,2214,B. Sc. Biotech,6,Paramedical
2205,2215,B. Sc. General (PCM),6,Paramedical
2206,2216,B. Sc. General (ZBC),6,Paramedical
3052,3063,B. Sc.(Hons.)- Mathematics,6,Paramedical
2209,2219,B. Sc.  Cardiovascular Technology,6,Paramedical
2649,2660,B. Tech Computer Science and Engineering (CSE),1,Engineering and Technology
817,827,B. Tech in Civil Engineering,1,Engineering and Technology
815,825,B. Tech in Computer Science Engineering (CSE),1,Engineering and Technology
2651,2662,B. Tech in CSE (Hons.) with specialization in Cloud Computing (In Association with IBM),1,Engineering and Technology
2652,2663,B. Tech in CSE (Hons.) with Specialization in Data Science & Artificial Intelligence (in Association with IBM),1,Engineering and Technology
2653,2664,B. Tech in CSE (Hons.) with Specialization in Information Security (in Association with IBM),1,Engineering and Technology
2650,2661,B. Tech in CSE (Hons.) with Specialization in Machine Learning & Artificial Intelligence (in Association with IBM),1,Engineering and Technology
1081,1091,B. Tech in electrical engineering,1,Engineering and Technology
816,826,B. Tech in Mechanical Engineering,1,Engineering and Technology
3534,3545,"B. Tech. CS With IBM Cloud Computing, Cyber Security & Internet of things Artificial Intelligence and Machine Learning Data Analytics",1,Engineering and Technology
1975,1985,B.A,4,Education
2508,2518,B.A,4,Education
161,171,B.A (Hons)- Built Environment Studies,4,Education
625,635,B.A (Hons.) in Economics,4,Education
1979,1989,B.A (JMC),8,Mass Communication
2105,2115,B.A (Journalism and Mass Communication),8,Mass Communication
3307,3318,B.A + B.ED,4,Education
1971,1981,B.A B.Ed,4,Education
3317,3328,B.A Dual Specialization (Punabi/Hindi/Socilogy/Psychology/Political Science/History/Economics/Education/Publicadministration/Computer Application,4,Education
3580,3591,B.A in Business Economics,4,Education
3583,3594,B.A in Economics,4,Education
3578,3589,B.A in English,4,Education
146,156,B.A in Fine Arts,7,Design Courses
3214,3225,B.A in Hindi,4,Education
3579,3590,B.A in Historical Studies,4,Education
3581,3592,B.A in Journalism,4,Education
145,155,B.A in Resource Management and Design Application,7,Design Courses
3582,3593,B.A in Sociology,4,Education
3577,3588,B.A in Tamil,4,Education
1041,1051,B.A Mass Communication,8,Mass Communication
3129,3140,B.A. (Film & Television Production),7,Design Courses
1677,1687,B.A. (Fine Arts),4,Education
1687,1697,B.A. (Hons.),4,Education
3553,3564,B.A. (Hons.) Economics,6,Paramedical
3120,3131,B.A. (Hons.)- Applied Economics,4,Education
1673,1683,B.A. (Journalism & Mass Communication),8,Mass Communication
1681,1691,B.A. (Music Tabla),4,Education
1679,1689,B.A. (Music Vocal),4,Education
1680,1690,B.A. (Theatre),4,Education
102,112,B.A. - B.Ed.,4,Education
3495,3506,B.A. - English,4,Education
84,94,B.A. - L.L.B. with specialization in Criminal Law/ Labour Law/Constitution Law,3,Law
2261,2271,B.A. B.Ed.,4,Education
3194,3205,B.A. B.Ed. Integrated,4,Education
3409,3420,B.A. English (Hons),4,Education
2033,2043,B.A. English (Hons.),4,Education
2253,2263,B.A. Fashion Designing,7,Design Courses
2445,2455,B.A. IHTM,10,Hospitality and Tourism Management
116,126,B.A. Journalism & Mass Communication,8,Mass Communication
3127,3138,B.A. Journalism & Mass Communication,8,Mass Communication
2378,2388,B.A. L.L.B (Hons),3,Law
3496,3507,B.A. LL.B. (Hons.),3,Law
3192,3203,B.A. LL.B. Integrated,3,Law
3574,3585,B.A. LLB ,3,Law
119,129,B.A. Music and Dance,8,Mass Communication
1652,1662,"B.A., LL.B.(Hons.)
{No exit/discontinue option after B.A.}",3,Law
2500,2510,B.A.B.Ed,4,Education
1927,1937,B.A.L.L.B,3,Law
3298,3309,B.A.L.L.B,3,Law
530,540,B.A.L.L.B.,3,Law
456,466,B.A.LL.B,3,Law
833,843,B.A.LL.B.,3,Law
2506,2516,B.A.LLB,3,Law
2122,2132,B.ARCH,7,Design Courses
2603,2614,B.Arch,7,Design Courses
2690,2701,B.Arch,1,Engineering and Technology
3413,3424,B.Arch,7,Design Courses
3473,3484,B.Arch - Bachelor of Architecture ,1,Engineering and Technology
1950,1960,B.Arch.,7,Design Courses
2897,2908,B.Architecture,7,Design Courses
2376,2386,B.B.A,2,Business and Commerce
2791,2802,B.B.A. (Brand Management & Communication),2,Business and Commerce
3481,3492,B.B.A. - Bachelor of Business Administration,2,Business and Commerce
2377,2387,B.B.A. L.L.B (Hons),3,Law
3497,3508,B.B.A. LL.B. (Hons.),3,Law
3191,3202,B.B.A. LL.B. Integrated,3,Law
531,541,B.B.A.L.L.B.,3,Law
457,467,B.B.A.LL.B.,3,Law
2446,2456,B.C.A,9,Computer Application
864,874,B.COM,2,Business and Commerce
1976,1986,B.Com,2,Business and Commerce
2127,2137,B.COM,2,Business and Commerce
2509,2519,B.Com,2,Business and Commerce
1235,1245,B.Com (Hons),2,Business and Commerce
2100,2110,B.Com (Hons),2,Business and Commerce
2386,2396,B.COM (Hons),2,Business and Commerce
75,85,B.COM (Hons) in  Banking & Insurance,2,Business and Commerce
77,87,B.COM (Hons) in Advanced Cost and Management Accounting,2,Business and Commerce
82,92,B.COM (Hons) in Auditing &Taxation,2,Business and Commerce
76,86,B.COM (Hons) in Computer Applications,2,Business and Commerce
80,90,B.COM (Hons) in E -Commerce,2,Business and Commerce
78,88,B.COM (Hons) in Financial Market Practices in collaboration with NSE,2,Business and Commerce
81,91,B.COM (Hons) in Foreign Trade,2,Business and Commerce
79,89,B.COM (Hons) in Tourism & Hospitality Management,2,Business and Commerce
827,837,B.Com (Hons.),2,Business and Commerce
2612,2623,B.Com (Hons.),2,Business and Commerce
2717,2728,B.Com (Hons.),2,Business and Commerce
2718,2729,"B.Com (Hons.) Corporate Accounting and Financial Analysis with CMA, US",2,Business and Commerce
2719,2730,B.Com (Hons.) International Finance and Accounting with ACCA,2,Business and Commerce
3404,3415,B.Com Accounts & Finance,2,Business and Commerce
524,534,B.Com Honors (E-commerce),2,Business and Commerce
525,535,B.Com Honors Banking and Finance,2,Business and Commerce
3595,3606,B.Com in Accounting and Finance,2,Business and Commerce
3597,3608,B.Com in Bank Management,2,Business and Commerce
3598,3609,B.Com in Corporate Secretary Ship,2,Business and Commerce
3594,3605,B.Com in General,2,Business and Commerce
2610,2621,B.COM in Industry Integrated,2,Business and Commerce
3596,3607,B.Com in Marketing Management,2,Business and Commerce
2912,2923,B.Com LLB (Hons.)**,3,Law
2913,2924,B.Com LLB**,3,Law
2611,2622,B.COM with Specialization In Capital Market,2,Business and Commerce
2465,2475,"B.COM(H) GLOBAL PROFESSIONAL + CIMA, UK",2,Business and Commerce
2128,2138,B.COM(HONS),2,Business and Commerce
2441,2451,B.COM(Hons),2,Business and Commerce
2464,2474,B.COM(Hons),2,Business and Commerce
1646,1656,B.Com.,2,Business and Commerce
1944,1954,B.Com.,2,Business and Commerce
2889,2900,B.Com.,2,Business and Commerce
