Nos,ID,Course Name,Stream ID,Stream Name
1,2016,(BCLS) Basic Cardiac Life Support Technician + (ACLS) Advanced Cardiac Life Support Technician (Integrated)* Note: With option to move after 2 years BCLS,6,Paramedical
2,3209,Advance Certificate of Proficiency (English),4,Education
3,2412,Advanced Diploma in Digital Media Design,7,Design Courses
4,2400,Advanced Diploma in Fashion Design,7,Design Courses
5,2415,Advanced Diploma in Fashion Marketing and Management Design,7,Design Courses
6,2409,Advanced Diploma in Graphic Design,7,Design Courses
7,2403,Advanced Diploma in Interior Design,7,Design Courses
8,2406,Advanced Diploma in Product Design,7,Design Courses
9,1385,Aircraft Maintenance Engineering,1,Engineering and Technology
10,1321,Animation Prime,7,Design Courses
11,2597,ANM,6,Paramedical
12,2118,ATHM (Airline Tourism & Hospitality Management),10,Hospitality and Tourism Management
13,493,Auxiliary Nurse MildWifery(A.N.M),6,Paramedical
14,432,Auxiliary Nursing & Midwifery (ANM),6,Paramedical
15,705,Auxiliary Nursing & Midwifery (ANM),6,Paramedical
16,1117,Auxiliary Nursing & Midwifery (ANM),6,Paramedical
17,3227,B A Political Science,4,Education
18,3226,B A Sociology,4,Education
19,3229,B Com ABST,2,Business and Commerce
20,3230,B Com EAFM,2,Business and Commerce
21,1283,"B Sc (Hons) Computer
Science in Artificial Intelligence",9,Computer Application
22,1284,"B Sc (Hons) Computer
Science in Innovation and Technology",9,Computer Application
23,1144,B Tech in Civil Engineering,1,Engineering and Technology
24,1166,B Tech in Civil Engineering,1,Engineering and Technology
25,1176,B Tech in Civil Engineering,1,Engineering and Technology
26,1193,B Tech in Civil Engineering,1,Engineering and Technology
27,2471,B-Optometry,6,Paramedical
28,1670,B. Arch.,1,Engineering and Technology
29,2198,B. Com,2,Business and Commerce
30,632,B. Com (Hons.),2,Business and Commerce
31,2266,B. Com (Hons.),2,Business and Commerce
32,2367,"B. COM (IFA with ACCA, UK)",2,Business and Commerce
33,2368,"B. COM (IFA with IMA, USA)",2,Business and Commerce
34,2800,"B. Com. (Hons.) in collaboration with University of Warwick, UK.",2,Business and Commerce
35,2801,B. Com. (Hons.) in International Accounting & Finance,2,Business and Commerce
36,2383,B. Design Animation/Game Design,7,Design Courses
37,2376,B. Ed,4,Education
38,113,B. ED. Bachelor of Education,4,Education
39,2364,B. Interior Design,7,Design Courses
40,293,B. Pharm,5,Pharmacy
41,3551,B. Pharm,5,Pharmacy
42,3552,B. Pharm (Lateral Entry),5,Pharmacy
43,1114,B. Pharma,5,Pharmacy
44,116,B. Pharma Bachelor of Pharmacy (Ayurvedic),5,Pharmacy
45,2200,B. Pharmacy,5,Pharmacy
46,2269,B. Pharmacy (B.Pharma),5,Pharmacy
47,2372,B. Pharmacy (Practice),5,Pharmacy
48,2270,B. Pharmcy (LEET),5,Pharmacy
49,1671,B. Plan.,1,Engineering and Technology
50,3285,B. Planning (Urban Planning),1,Engineering and Technology
51,2820,B. SC (PHARMACEUTICAL CHEMISTRY),6,Paramedical
52,2345,B. Sc Agriculture,6,Paramedical
53,2348,B. Sc Allied Healthcare,6,Paramedical
54,2382,B. Sc Animation,7,Design Courses
55,2379,B. Sc Culinary Arts,10,Hospitality and Tourism Management
56,2378,B. Sc Hospitality Administration,10,Hospitality and Tourism Management
57,2380,B. Sc Hospitality Administration,10,Hospitality and Tourism Management
58,2828,B. Sc Hospitality Administration,10,Hospitality and Tourism Management
59,2733,B. Sc IT,9,Computer Application
60,2734,B. Sc IT (Industry Intergrated),9,Computer Application
61,2347,B. Sc Nursing (Basic),6,Paramedical
62,2385,B. Sc Post Basic Nursing,6,Paramedical
63,2217,B. Sc. (Hons) Forensic Science,6,Paramedical
64,847,B. Sc. (Hons.) Chemistry,6,Paramedical
65,848,B. Sc. (Hons.) Mathematics,6,Paramedical
66,846,B. Sc. (Hons.) Physics,6,Paramedical
67,2214,B. Sc. Biotech,6,Paramedical
